,Date,Region,Product,Unit,Price
87,2017-07-01,GBA,Fideos secos tipo guisero,500 g,19.53
88,2017-07-01,GBA,Carne picada común,kg,72.71
89,2017-07-01,GBA,Pollo entero,kg,35.51
90,2017-07-01,GBA,Aceite de girasol,"1,5 litros",51.35
91,2017-07-01,GBA,Leche fresca entera sachet,Litro,21.53
92,2017-07-01,GBA,Huevos de gallina,Docena,33.54
93,2017-07-01,GBA,Papa,kg,14.48
94,2017-07-01,GBA,Azúcar,kg,19.37
95,2017-07-01,GBA,Detergente líquido,750 cc,19.84
96,2017-07-01,GBA,Lavandina,1.000 cc,15.62
97,2017-07-01,GBA,Jabón de tocador,125 g,14.12
98,2017-07-01,Pampeana,Pan francés,kg,31.93
99,2017-07-01,Pampeana,Harina de trigo común,kg,11.17
100,2017-07-01,Pampeana,Arroz blanco simple,kg,21.22
101,2017-07-01,Pampeana,Fideos secos tipo guisero,500 g,17.22
102,2017-07-01,Pampeana,Carne picada común,kg,77.33
103,2017-07-01,Pampeana,Pollo entero,kg,37.44
104,2017-07-01,Pampeana,Aceite de girasol,"1,5 litros",53.57
105,2017-07-01,Pampeana,Leche fresca entera sachet,Litro,23.42
106,2017-07-01,Pampeana,Huevos de gallina,Docena,33.05
107,2017-07-01,Pampeana,Papa,kg,13.93
108,2017-07-01,Pampeana,Azúcar,kg,18.94
109,2017-07-01,Pampeana,Detergente líquido,750 cc,22.2
110,2017-07-01,Pampeana,Lavandina,1.000 cc,14.59
111,2017-07-01,Pampeana,Jabón de tocador,125 g,14.45
112,2017-07-01,Noreste,Pan francés,kg,28.99
113,2017-07-01,Noreste,Harina de trigo común,kg,11.05
114,2017-07-01,Noreste,Arroz blanco simple,kg,20.32
115,2017-07-01,Noreste,Fideos secos tipo guisero,500 g,14.34
116,2017-07-01,Noreste,Carne picada común,kg,70.58
117,2017-07-01,Noreste,Pollo entero,kg,36.99
118,2017-07-01,Noreste,Aceite de girasol,"1,5 litros",51.05
119,2017-07-01,Noreste,Leche fresca entera sachet,Litro,23.27
120,2017-07-01,Noreste,Huevos de gallina,Docena,29.27
121,2017-07-01,Noreste,Papa,kg,12.56
122,2017-07-01,Noreste,Azúcar,kg,17.99
123,2017-07-01,Noreste,Detergente líquido,750 cc,20.53
124,2017-07-01,Noreste,Lavandina,1.000 cc,15.96
125,2017-07-01,Noreste,Jabón de tocador,125 g,14.21
126,2017-07-01,Noroeste,Pan francés,kg,33.1
127,2017-07-01,Noroeste,Harina de trigo común,kg,10.55
128,2017-07-01,Noroeste,Arroz blanco simple,kg,18.63
129,2017-07-01,Noroeste,Fideos secos tipo guisero,500 g,13.62
130,2017-07-01,Noroeste,Carne picada común,kg,82.23
131,2017-07-01,Noroeste,Pollo entero,kg,36.91
132,2017-07-01,Noroeste,Aceite de girasol,"1,5 litros",52.13
133,2017-07-01,Noroeste,Leche fresca entera sachet,Litro,22.53
134,2017-07-01,Noroeste,Huevos de gallina,Docena,30.32
135,2017-07-01,Noroeste,Papa,kg,10.82
136,2017-07-01,Noroeste,Azúcar,kg,16.53
137,2017-07-01,Noroeste,Detergente líquido,750 cc,23.57
138,2017-07-01,Noroeste,Lavandina,1.000 cc,14.95
139,2017-07-01,Noroeste,Jabón de tocador,125 g,14.73
140,2017-07-01,Cuyo,Pan francés,kg,28.34
141,2017-07-01,Cuyo,Harina de trigo común,kg,10.28
142,2017-07-01,Cuyo,Arroz blanco simple,kg,18.86
143,2017-07-01,Cuyo,Fideos secos tipo guisero,500 g,17.92
144,2017-07-01,Cuyo,Carne picada común,kg,73.7
145,2017-07-01,Cuyo,Pollo entero,kg,36.16
146,2017-07-01,Cuyo,Aceite de girasol,"1,5 litros",49.07
147,2017-07-01,Cuyo,Leche fresca entera sachet,Litro,23.95
148,2017-07-01,Cuyo,Huevos de gallina,Docena,36.04
149,2017-07-01,Cuyo,Papa,kg,12.83
150,2017-07-01,Cuyo,Azúcar,kg,18.13
151,2017-07-01,Cuyo,Detergente líquido,750 cc,22.11
152,2017-07-01,Cuyo,Lavandina,1.000 cc,14.61
153,2017-07-01,Cuyo,Jabón de tocador,125 g,14.25
154,2017-07-01,Patagonia,Pan francés,kg,38.68
155,2017-07-01,Patagonia,Harina de trigo común,kg,11.79
156,2017-07-01,Patagonia,Arroz blanco simple,kg,26.33
157,2017-07-01,Patagonia,Fideos secos tipo guisero,500 g,21.02
158,2017-07-01,Patagonia,Carne picada común,kg,91.64
159,2017-07-01,Patagonia,Pollo entero,kg,43.04
160,2017-07-01,Patagonia,Aceite de girasol,"1,5 litros",50.25
161,2017-07-01,Patagonia,Leche fresca entera sachet,Litro,24.36
162,2017-07-01,Patagonia,Huevos de gallina,Docena,43.78
163,2017-07-01,Patagonia,Papa,kg,18.95
164,2017-07-01,Patagonia,Azúcar,kg,21.38
165,2017-07-01,Patagonia,Detergente líquido,750 cc,34.91
166,2017-07-01,Patagonia,Lavandina,1.000 cc,16.21
167,2017-07-01,Patagonia,Jabón de tocador,125 g,15.3
168,2017-08-01,GBA,Pan francés,kg,39.43
169,2017-08-01,GBA,Harina de trigo común,kg,10.65
170,2017-08-01,GBA,Arroz blanco simple,kg,21.25
171,2017-08-01,GBA,Fideos secos tipo guisero,500 g,19.73
172,2017-08-01,GBA,Carne picada común,kg,73.4
173,2017-08-01,GBA,Pollo entero,kg,36.21
174,2017-08-01,GBA,Aceite de girasol,"1,5 litros",52.35
175,2017-08-01,GBA,Leche fresca entera sachet,Litro,21.72
176,2017-08-01,GBA,Huevos de gallina,Docena,33.63
177,2017-08-01,GBA,Papa,kg,14.35
178,2017-08-01,GBA,Azúcar,kg,19.58
179,2017-08-01,GBA,Detergente líquido,750 cc,20.1
180,2017-08-01,GBA,Lavandina,1.000 cc,15.64
181,2017-08-01,GBA,Jabón de tocador,125 g,14.24
182,2017-08-01,Pampeana,Pan francés,kg,32.32
183,2017-08-01,Pampeana,Harina de trigo común,kg,11.19
184,2017-08-01,Pampeana,Arroz blanco simple,kg,21.76
185,2017-08-01,Pampeana,Fideos secos tipo guisero,500 g,17.79
186,2017-08-01,Pampeana,Carne picada común,kg,77.0
187,2017-08-01,Pampeana,Pollo entero,kg,38.37
188,2017-08-01,Pampeana,Aceite de girasol,"1,5 litros",54.91
189,2017-08-01,Pampeana,Leche fresca entera sachet,Litro,23.58
190,2017-08-01,Pampeana,Huevos de gallina,Docena,33.4
191,2017-08-01,Pampeana,Papa,kg,14.26
192,2017-08-01,Pampeana,Azúcar,kg,19.21
193,2017-08-01,Pampeana,Detergente líquido,750 cc,22.47
194,2017-08-01,Pampeana,Lavandina,1.000 cc,14.84
195,2017-08-01,Pampeana,Jabón de tocador,125 g,14.68
196,2017-08-01,Noreste,Pan francés,kg,29.07
197,2017-08-01,Noreste,Harina de trigo común,kg,10.94
198,2017-08-01,Noreste,Arroz blanco simple,kg,20.37
199,2017-08-01,Noreste,Fideos secos tipo guisero,500 g,14.57
200,2017-08-01,Noreste,Carne picada común,kg,72.24
201,2017-08-01,Noreste,Pollo entero,kg,37.29
202,2017-08-01,Noreste,Aceite de girasol,"1,5 litros",53.34
203,2017-08-01,Noreste,Leche fresca entera sachet,Litro,23.25
204,2017-08-01,Noreste,Huevos de gallina,Docena,29.27
205,2017-08-01,Noreste,Papa,kg,13.23
206,2017-08-01,Noreste,Azúcar,kg,18.01
207,2017-08-01,Noreste,Detergente líquido,750 cc,20.67
208,2017-08-01,Noreste,Lavandina,1.000 cc,15.81
209,2017-08-01,Noreste,Jabón de tocador,125 g,14.49
210,2017-08-01,Noroeste,Pan francés,kg,33.25
211,2017-08-01,Noroeste,Harina de trigo común,kg,10.59
212,2017-08-01,Noroeste,Arroz blanco simple,kg,19.16
213,2017-08-01,Noroeste,Fideos secos tipo guisero,500 g,13.78
214,2017-08-01,Noroeste,Carne picada común,kg,82.43
215,2017-08-01,Noroeste,Pollo entero,kg,37.48
216,2017-08-01,Noroeste,Aceite de girasol,"1,5 litros",52.96
217,2017-08-01,Noroeste,Leche fresca entera sachet,Litro,22.58
218,2017-08-01,Noroeste,Huevos de gallina,Docena,30.47
219,2017-08-01,Noroeste,Papa,kg,11.21
220,2017-08-01,Noroeste,Azúcar,kg,16.54
221,2017-08-01,Noroeste,Detergente líquido,750 cc,23.92
222,2017-08-01,Noroeste,Lavandina,1.000 cc,15.18
223,2017-08-01,Noroeste,Jabón de tocador,125 g,15.05
224,2017-08-01,Cuyo,Pan francés,kg,28.82
225,2017-08-01,Cuyo,Harina de trigo común,kg,10.46
226,2017-08-01,Cuyo,Arroz blanco simple,kg,19.27
227,2017-08-01,Cuyo,Fideos secos tipo guisero,500 g,18.54
228,2017-08-01,Cuyo,Carne picada común,kg,73.72
229,2017-08-01,Cuyo,Pollo entero,kg,36.91
230,2017-08-01,Cuyo,Aceite de girasol,"1,5 litros",49.39
231,2017-08-01,Cuyo,Leche fresca entera sachet,Litro,24.04
232,2017-08-01,Cuyo,Huevos de gallina,Docena,35.29
233,2017-08-01,Cuyo,Papa,kg,12.98
234,2017-08-01,Cuyo,Azúcar,kg,18.29
235,2017-08-01,Cuyo,Detergente líquido,750 cc,22.15
236,2017-08-01,Cuyo,Lavandina,1.000 cc,14.59
237,2017-08-01,Cuyo,Jabón de tocador,125 g,14.78
238,2017-08-01,Patagonia,Pan francés,kg,38.84
239,2017-08-01,Patagonia,Harina de trigo común,kg,11.75
240,2017-08-01,Patagonia,Arroz blanco simple,kg,26.49
241,2017-08-01,Patagonia,Fideos secos tipo guisero,500 g,21.32
242,2017-08-01,Patagonia,Carne picada común,kg,92.76
243,2017-08-01,Patagonia,Pollo entero,kg,43.33
244,2017-08-01,Patagonia,Aceite de girasol,"1,5 litros",51.17
245,2017-08-01,Patagonia,Leche fresca entera sachet,Litro,24.53
246,2017-08-01,Patagonia,Huevos de gallina,Docena,44.34
247,2017-08-01,Patagonia,Papa,kg,19.55
248,2017-08-01,Patagonia,Azúcar,kg,21.52
249,2017-08-01,Patagonia,Detergente líquido,750 cc,35.98
250,2017-08-01,Patagonia,Lavandina,1.000 cc,16.57
251,2017-08-01,Patagonia,Jabón de tocador,125 g,15.6
252,2017-09-01,GBA,Pan francés,kg,39.71
253,2017-09-01,GBA,Harina de trigo común,kg,10.66
254,2017-09-01,GBA,Arroz blanco simple,kg,21.49
255,2017-09-01,GBA,Fideos secos tipo guisero,500 g,19.86
256,2017-09-01,GBA,Carne picada común,kg,73.28
257,2017-09-01,GBA,Pollo entero,kg,38.57
258,2017-09-01,GBA,Aceite de girasol,"1,5 litros",54.09
259,2017-09-01,GBA,Leche fresca entera sachet,Litro,21.81
260,2017-09-01,GBA,Huevos de gallina,Docena,33.7
261,2017-09-01,GBA,Papa,kg,14.37
262,2017-09-01,GBA,Azúcar,kg,19.78
263,2017-09-01,GBA,Detergente líquido,750 cc,20.08
264,2017-09-01,GBA,Lavandina,1.000 cc,15.96
265,2017-09-01,GBA,Jabón de tocador,125 g,14.51
266,2017-09-01,Pampeana,Pan francés,kg,32.62
267,2017-09-01,Pampeana,Harina de trigo común,kg,11.25
268,2017-09-01,Pampeana,Arroz blanco simple,kg,21.97
269,2017-09-01,Pampeana,Fideos secos tipo guisero,500 g,18.01
270,2017-09-01,Pampeana,Carne picada común,kg,77.31
271,2017-09-01,Pampeana,Pollo entero,kg,40.54
272,2017-09-01,Pampeana,Aceite de girasol,"1,5 litros",55.8
273,2017-09-01,Pampeana,Leche fresca entera sachet,Litro,23.53
274,2017-09-01,Pampeana,Huevos de gallina,Docena,33.11
275,2017-09-01,Pampeana,Papa,kg,14.53
276,2017-09-01,Pampeana,Azúcar,kg,19.45
277,2017-09-01,Pampeana,Detergente líquido,750 cc,22.38
278,2017-09-01,Pampeana,Lavandina,1.000 cc,15.06
279,2017-09-01,Pampeana,Jabón de tocador,125 g,14.82
280,2017-09-01,Noreste,Pan francés,kg,29.4
281,2017-09-01,Noreste,Harina de trigo común,kg,11.06
282,2017-09-01,Noreste,Arroz blanco simple,kg,20.07
283,2017-09-01,Noreste,Fideos secos tipo guisero,500 g,14.7
284,2017-09-01,Noreste,Carne picada común,kg,74.83
285,2017-09-01,Noreste,Pollo entero,kg,39.05
286,2017-09-01,Noreste,Aceite de girasol,"1,5 litros",54.33
287,2017-09-01,Noreste,Leche fresca entera sachet,Litro,23.39
288,2017-09-01,Noreste,Huevos de gallina,Docena,29.32
289,2017-09-01,Noreste,Papa,kg,13.51
290,2017-09-01,Noreste,Azúcar,kg,18.37
291,2017-09-01,Noreste,Detergente líquido,750 cc,20.34
292,2017-09-01,Noreste,Lavandina,1.000 cc,15.77
293,2017-09-01,Noreste,Jabón de tocador,125 g,14.79
294,2017-09-01,Noroeste,Pan francés,kg,33.24
295,2017-09-01,Noroeste,Harina de trigo común,kg,10.7
296,2017-09-01,Noroeste,Arroz blanco simple,kg,19.41
297,2017-09-01,Noroeste,Fideos secos tipo guisero,500 g,13.89
298,2017-09-01,Noroeste,Carne picada común,kg,84.05
299,2017-09-01,Noroeste,Pollo entero,kg,39.69
300,2017-09-01,Noroeste,Aceite de girasol,"1,5 litros",53.8
301,2017-09-01,Noroeste,Leche fresca entera sachet,Litro,22.89
302,2017-09-01,Noroeste,Huevos de gallina,Docena,30.54
303,2017-09-01,Noroeste,Papa,kg,11.47
304,2017-09-01,Noroeste,Azúcar,kg,16.64
305,2017-09-01,Noroeste,Detergente líquido,750 cc,23.91
306,2017-09-01,Noroeste,Lavandina,1.000 cc,15.43
307,2017-09-01,Noroeste,Jabón de tocador,125 g,15.24
308,2017-09-01,Cuyo,Pan francés,kg,28.99
309,2017-09-01,Cuyo,Harina de trigo común,kg,10.49
310,2017-09-01,Cuyo,Arroz blanco simple,kg,19.13
311,2017-09-01,Cuyo,Fideos secos tipo guisero,500 g,18.81
312,2017-09-01,Cuyo,Carne picada común,kg,74.82
313,2017-09-01,Cuyo,Pollo entero,kg,39.39
314,2017-09-01,Cuyo,Aceite de girasol,"1,5 litros",51.16
315,2017-09-01,Cuyo,Leche fresca entera sachet,Litro,23.85
316,2017-09-01,Cuyo,Huevos de gallina,Docena,35.95
317,2017-09-01,Cuyo,Papa,kg,13.28
318,2017-09-01,Cuyo,Azúcar,kg,18.69
319,2017-09-01,Cuyo,Detergente líquido,750 cc,21.4
320,2017-09-01,Cuyo,Lavandina,1.000 cc,15.11
321,2017-09-01,Cuyo,Jabón de tocador,125 g,14.89
322,2017-09-01,Patagonia,Pan francés,kg,39.49
323,2017-09-01,Patagonia,Harina de trigo común,kg,12.06
324,2017-09-01,Patagonia,Arroz blanco simple,kg,26.52
325,2017-09-01,Patagonia,Fideos secos tipo guisero,500 g,20.98
326,2017-09-01,Patagonia,Carne picada común,kg,94.13
327,2017-09-01,Patagonia,Pollo entero,kg,44.73
328,2017-09-01,Patagonia,Aceite de girasol,"1,5 litros",51.64
329,2017-09-01,Patagonia,Leche fresca entera sachet,Litro,25.08
330,2017-09-01,Patagonia,Huevos de gallina,Docena,43.75
331,2017-09-01,Patagonia,Papa,kg,19.71
332,2017-09-01,Patagonia,Azúcar,kg,21.72
333,2017-09-01,Patagonia,Detergente líquido,750 cc,34.89
334,2017-09-01,Patagonia,Lavandina,1.000 cc,17.14
335,2017-09-01,Patagonia,Jabón de tocador,125 g,15.58
336,2017-10-01,GBA,Pan francés,kg,39.89
337,2017-10-01,GBA,Harina de trigo común,kg,10.61
338,2017-10-01,GBA,Arroz blanco simple,kg,21.74
339,2017-10-01,GBA,Fideos secos tipo guisero,500 g,20.13
340,2017-10-01,GBA,Carne picada común,kg,73.75
341,2017-10-01,GBA,Pollo entero,kg,39.3
342,2017-10-01,GBA,Aceite de girasol,"1,5 litros",54.68
343,2017-10-01,GBA,Leche fresca entera sachet,Litro,21.95
344,2017-10-01,GBA,Huevos de gallina,Docena,33.93
345,2017-10-01,GBA,Papa,kg,15.34
346,2017-10-01,GBA,Azúcar,kg,20.12
347,2017-10-01,GBA,Detergente líquido,750 cc,20.55
348,2017-10-01,GBA,Lavandina,1.000 cc,16.13
349,2017-10-01,GBA,Jabón de tocador,125 g,14.6
350,2017-10-01,Pampeana,Pan francés,kg,33.03
351,2017-10-01,Pampeana,Harina de trigo común,kg,11.35
352,2017-10-01,Pampeana,Arroz blanco simple,kg,21.92
353,2017-10-01,Pampeana,Fideos secos tipo guisero,500 g,18.07
354,2017-10-01,Pampeana,Carne picada común,kg,78.34
355,2017-10-01,Pampeana,Pollo entero,kg,40.9
356,2017-10-01,Pampeana,Aceite de girasol,"1,5 litros",55.93
357,2017-10-01,Pampeana,Leche fresca entera sachet,Litro,23.64
358,2017-10-01,Pampeana,Huevos de gallina,Docena,33.28
359,2017-10-01,Pampeana,Papa,kg,14.92
360,2017-10-01,Pampeana,Azúcar,kg,19.73
361,2017-10-01,Pampeana,Detergente líquido,750 cc,22.53
362,2017-10-01,Pampeana,Lavandina,1.000 cc,15.11
363,2017-10-01,Pampeana,Jabón de tocador,125 g,14.95
364,2017-10-01,Noreste,Pan francés,kg,29.38
365,2017-10-01,Noreste,Harina de trigo común,kg,11.1
366,2017-10-01,Noreste,Arroz blanco simple,kg,20.32
367,2017-10-01,Noreste,Fideos secos tipo guisero,500 g,15.19
368,2017-10-01,Noreste,Carne picada común,kg,76.78
369,2017-10-01,Noreste,Pollo entero,kg,39.39
370,2017-10-01,Noreste,Aceite de girasol,"1,5 litros",55.78
371,2017-10-01,Noreste,Leche fresca entera sachet,Litro,23.82
372,2017-10-01,Noreste,Huevos de gallina,Docena,29.07
373,2017-10-01,Noreste,Papa,kg,13.6
374,2017-10-01,Noreste,Azúcar,kg,18.72
375,2017-10-01,Noreste,Detergente líquido,750 cc,19.88
376,2017-10-01,Noreste,Lavandina,1.000 cc,16.09
377,2017-10-01,Noreste,Jabón de tocador,125 g,14.88
378,2017-10-01,Noroeste,Pan francés,kg,33.57
379,2017-10-01,Noroeste,Harina de trigo común,kg,10.85
380,2017-10-01,Noroeste,Arroz blanco simple,kg,19.74
381,2017-10-01,Noroeste,Fideos secos tipo guisero,500 g,13.93
382,2017-10-01,Noroeste,Carne picada común,kg,84.82
383,2017-10-01,Noroeste,Pollo entero,kg,40.48
384,2017-10-01,Noroeste,Aceite de girasol,"1,5 litros",54.7
385,2017-10-01,Noroeste,Leche fresca entera sachet,Litro,22.76
386,2017-10-01,Noroeste,Huevos de gallina,Docena,30.81
387,2017-10-01,Noroeste,Papa,kg,11.55
388,2017-10-01,Noroeste,Azúcar,kg,16.87
389,2017-10-01,Noroeste,Detergente líquido,750 cc,24.34
390,2017-10-01,Noroeste,Lavandina,1.000 cc,15.74
391,2017-10-01,Noroeste,Jabón de tocador,125 g,15.31
392,2017-10-01,Cuyo,Pan francés,kg,29.35
393,2017-10-01,Cuyo,Harina de trigo común,kg,10.58
394,2017-10-01,Cuyo,Arroz blanco simple,kg,19.6
395,2017-10-01,Cuyo,Fideos secos tipo guisero,500 g,18.85
396,2017-10-01,Cuyo,Carne picada común,kg,73.88
397,2017-10-01,Cuyo,Pollo entero,kg,40.0
398,2017-10-01,Cuyo,Aceite de girasol,"1,5 litros",51.56
399,2017-10-01,Cuyo,Leche fresca entera sachet,Litro,24.06
400,2017-10-01,Cuyo,Huevos de gallina,Docena,35.41
401,2017-10-01,Cuyo,Papa,kg,14.12
402,2017-10-01,Cuyo,Azúcar,kg,19.01
403,2017-10-01,Cuyo,Detergente líquido,750 cc,22.21
404,2017-10-01,Cuyo,Lavandina,1.000 cc,15.41
405,2017-10-01,Cuyo,Jabón de tocador,125 g,14.99
406,2017-10-01,Patagonia,Pan francés,kg,39.88
407,2017-10-01,Patagonia,Harina de trigo común,kg,12.24
408,2017-10-01,Patagonia,Arroz blanco simple,kg,27.16
409,2017-10-01,Patagonia,Fideos secos tipo guisero,500 g,21.32
410,2017-10-01,Patagonia,Carne picada común,kg,96.01
411,2017-10-01,Patagonia,Pollo entero,kg,44.73
412,2017-10-01,Patagonia,Aceite de girasol,"1,5 litros",53.71
413,2017-10-01,Patagonia,Leche fresca entera sachet,Litro,25.03
414,2017-10-01,Patagonia,Huevos de gallina,Docena,43.7
415,2017-10-01,Patagonia,Papa,kg,20.55
416,2017-10-01,Patagonia,Azúcar,kg,22.24
417,2017-10-01,Patagonia,Detergente líquido,750 cc,35.51
418,2017-10-01,Patagonia,Lavandina,1.000 cc,17.65
419,2017-10-01,Patagonia,Jabón de tocador,125 g,15.68
420,2017-11-01,GBA,Pan francés,kg,40.24
421,2017-11-01,GBA,Harina de trigo común,kg,10.81
422,2017-11-01,GBA,Arroz blanco simple,kg,21.74
423,2017-11-01,GBA,Fideos secos tipo guisero,500 g,20.34
424,2017-11-01,GBA,Carne picada común,kg,73.83
425,2017-11-01,GBA,Pollo entero,kg,38.19
426,2017-11-01,GBA,Aceite de girasol,"1,5 litros",55.11
427,2017-11-01,GBA,Leche fresca entera sachet,Litro,22.63
428,2017-11-01,GBA,Huevos de gallina,Docena,33.99
429,2017-11-01,GBA,Papa,kg,18.7
430,2017-11-01,GBA,Azúcar,kg,20.7
431,2017-11-01,GBA,Detergente líquido,750 cc,20.77
432,2017-11-01,GBA,Lavandina,1.000 cc,16.31
433,2017-11-01,GBA,Jabón de tocador,125 g,14.92
434,2017-11-01,Pampeana,Pan francés,kg,33.31
435,2017-11-01,Pampeana,Harina de trigo común,kg,11.44
436,2017-11-01,Pampeana,Arroz blanco simple,kg,21.99
437,2017-11-01,Pampeana,Fideos secos tipo guisero,500 g,18.43
438,2017-11-01,Pampeana,Carne picada común,kg,77.68
439,2017-11-01,Pampeana,Pollo entero,kg,40.06
440,2017-11-01,Pampeana,Aceite de girasol,"1,5 litros",55.87
441,2017-11-01,Pampeana,Leche fresca entera sachet,Litro,24.18
442,2017-11-01,Pampeana,Huevos de gallina,Docena,33.36
443,2017-11-01,Pampeana,Papa,kg,18.05
444,2017-11-01,Pampeana,Azúcar,kg,20.51
445,2017-11-01,Pampeana,Detergente líquido,750 cc,22.75
446,2017-11-01,Pampeana,Lavandina,1.000 cc,15.4
447,2017-11-01,Pampeana,Jabón de tocador,125 g,15.18
448,2017-11-01,Noreste,Pan francés,kg,29.53
449,2017-11-01,Noreste,Harina de trigo común,kg,11.08
450,2017-11-01,Noreste,Arroz blanco simple,kg,20.48
451,2017-11-01,Noreste,Fideos secos tipo guisero,500 g,15.25
452,2017-11-01,Noreste,Carne picada común,kg,76.74
453,2017-11-01,Noreste,Pollo entero,kg,38.98
